TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
TIET11;16,29;4,24;20,74;4,26;0,80;33,95;37,62;15,34;8,46;12,18;3,72;1,88;3,18;-47,35;-1,05;0,93;20,53;3,88;12,04;0,19;0,81;0,25;-8,55;7,42;29.085.812,03
TIET3;3,43;4,03;21,84;4,48;0,85;33,95;37,62;15,34;8,90;12,18;3,72;1,88;3,35;-49,85;-1,10;0,93;20,53;3,88;12,04;0,19;0,81;0,25;-8,55;7,42;638.969,76
TIET4;3,20;4,32;20,37;4,18;0,79;33,95;37,62;15,34;8,31;12,18;3,72;1,88;3,13;-46,51;-1,03;0,93;20,53;3,88;12,04;0,19;0,81;0,25;-8,55;7,42;2.255.806,93
TIMP3;14,91;2,76;9,85;1,60;0,91;57,26;26,33;21,06;7,88;8,06;0,18;0,04;2,07;29,35;-1,12;1,21;16,22;9,28;14,51;0,57;0,43;0,44;-2,28;18,52;125.643.522,55
TKNO3;0,00;;0,00;0,00;0,00;23,31;12,62;6,72;0,00;1,41;-1,25;-0,14;0,00;0,00;0,00;3,45;5,87;4,67;6,16;0,79;0,21;0,69;1,69;16,13;
TKNO4;39,20;;10,82;0,64;0,50;23,31;12,62;6,72;5,76;1,41;-1,25;-0,14;0,73;1,29;-1,13;3,45;5,87;4,67;6,16;0,79;0,21;0,69;1,69;16,13;3.920,00
TOTS3;25,07;0,73;55,72;5,73;4,02;67,94;14,46;11,21;43,19;40,45;-2,74;-0,36;6,25;12,49;-8,30;2,66;10,29;7,21;8,67;0,70;0,30;0,64;5,18;-4,33;109.635.384,38
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;
TPIS3;1,37;;-1,30;0,33;0,07;11,06;-4,85;-18,14;-4,85;-41,61;-36,76;2,50;0,24;-0,27;-0,07;0,22;-25,44;-5,05;-5,29;0,20;0,80;0,28;-10,51;;1.290.724,86
TRIS3;14,20;1,51;17,03;2,35;1,42;36,88;21,73;19,73;15,45;14,87;-0,59;-0,09;3,36;2,70;-6,03;3,18;13,81;8,33;10,83;0,60;0,40;0,42;16,63;31,43;29.317.742,62
TRPL3;25,25;7,49;9,09;1,31;0,80;69,74;70,49;54,17;6,99;7,19;0,93;0,17;4,92;8,07;-0,98;2,21;14,38;8,83;12,40;0,61;0,39;0,16;24,55;36,20;115.441,17
TRPL4;20,95;9,02;7,54;1,09;0,67;69,74;70,49;54,17;5,80;7,19;0,93;0,17;4,09;6,69;-0,81;2,21;14,38;8,83;12,40;0,61;0,39;0,16;24,55;36,20;38.634.494,62
TUPY3;19,39;;-309,69;1,16;0,44;17,22;6,84;-0,18;8,21;11,16;2,95;0,42;0,56;1,65;-0,98;1,95;-0,38;-0,14;5,04;0,38;0,62;0,79;10,64;25,61;17.753.347,28
TXRX3;143,89;;132,08;-2,06;3.275,69;29,54;5,54;4,56;108,74;79,53;37,11;;6,03;-2,30;-4,92;0,19;-1,56;2.480,01;-6,30;-1.589,62;2.589,62;543,49;3,62;;516.158,00
TXRX4;10,53;;9,67;-0,15;239,72;29,54;5,54;4,56;7,96;79,53;37,11;;0,44;-0,17;-0,36;0,19;-1,56;2.480,01;-6,30;-1.589,62;2.589,62;543,49;3,62;;1.260.454,86
UCAS3;4,56;9,71;20,22;1,88;1,46;39,56;11,07;10,22;18,68;16,14;-2,54;-0,26;2,07;4,46;-2,97;2,82;9,30;7,22;6,49;0,78;0,22;0,71;-9,32;;784.017,28
UGPA3;18,51;2,38;62,68;2,17;0,63;6,76;1,50;0,37;15,26;24,66;9,40;1,34;0,23;2,13;-1,15;2,78;3,47;1,00;3,57;0,29;0,71;2,72;5,68;-20,28;131.269.079,52
UNIP3;29,85;1,32;130,91;2,05;0,73;26,07;10,56;0,71;8,78;;0,87;0,20;0,93;8,44;-1,10;1,34;1,57;0,55;11,97;0,35;0,65;0,78;31,46;21,32;1.032.091,31
UNIP5;28,56;2,50;125,26;1,96;0,69;26,07;10,56;0,71;8,40;;0,87;0,20;0,89;8,08;-1,05;1,34;1,57;0,55;11,97;0,35;0,65;0,78;31,46;21,32;38.530,15
UNIP6;24,91;1,74;109,25;1,71;0,61;26,07;10,56;0,71;7,32;;0,87;0,20;0,77;7,04;-0,92;1,34;1,57;0,55;11,97;0,35;0,65;0,78;31,46;21,32;4.161.515,76
USIM3;8,13;0,49;-82,45;0,65;0,38;12,42;6,63;-0,81;10,09;;3,52;0,23;0,67;1,54;-0,59;3,26;-0,79;-0,46;4,23;0,58;0,42;0,56;4,95;12,56;2.725.324,24
USIM5;7,43;0,58;-75,35;0,60;0,35;12,42;6,63;-0,81;9,22;;3,52;0,23;0,61;1,40;-0,53;3,26;-0,79;-0,46;4,23;0,58;0,42;0,56;4,95;12,56;167.257.264,55
USIM6;9,50;0,46;-96,34;0,76;0,44;12,42;6,63;-0,81;11,79;;3,52;0,23;0,78;1,80;-0,68;3,26;-0,79;-0,46;4,23;0,58;0,42;0,56;4,95;12,56;1.900,00
VALE3;56,97;2,48;-198,92;1,74;0,68;42,73;11,19;-1,02;18,07;20,25;2,18;0,21;2,02;6,92;-0,90;1,72;-0,88;-0,34;4,99;0,39;0,61;0,34;12,46;;1.345.366.923,17
VIVA3;22,22;0,76;18,95;4,73;2,87;70,18;33,57;28,98;16,36;15,81;-0,54;-0,16;5,49;6,49;-8,51;3,00;24,98;15,14;22,53;0,61;0,39;0,52;;;42.796.413,21
VIVR3;1,93;;-0,54;-0,81;0,23;25,79;125,50;163,73;-0,70;-1,86;-1,16;;;-0,47;-0,38;0,44;149,67;-43,41;-307,04;-0,29;1,29;-0,27;;;3.427.675,14
VIVT3;48,99;5,52;17,21;1,16;0,75;49,70;16,33;10,91;11,50;12,57;1,10;0,11;1,88;41,93;-0,93;1,10;6,76;4,38;6,78;0,65;0,35;0,40;4,81;0,26;4.659.146,31
VIVT4;48,85;6,08;17,17;1,16;0,75;49,70;16,33;10,91;11,46;12,57;1,10;0,11;1,87;41,81;-0,93;1,10;6,76;4,38;6,78;0,65;0,35;0,40;4,81;0,26;139.857.500,66
VLID3;11,25;6,22;19,71;0,64;0,28;21,29;6,31;1,99;6,21;12,32;6,11;0,63;0,39;1,69;-0,48;1,67;3,23;1,43;4,81;0,44;0,56;0,72;9,15;-13,37;12.224.978,93
VSPT3;0,00;;0,00;0,00;0,00;8,23;2,67;-2,36;0,00;-1,07;-1,07;-0,01;0,00;0,00;0,00;0,55;-1,22;-0,65;0,69;0,53;0,47;0,28;10,01;;
VSPT4;0,00;;0,00;0,00;0,00;8,23;2,67;-2,36;0,00;-1,07;-1,07;-0,01;0,00;0,00;0,00;0,55;-1,22;-0,65;0,69;0,53;0,47;0,28;10,01;;
VULC3;5,61;;10,96;1,25;1,00;34,41;9,14;9,69;11,61;11,13;-0,48;-0,05;1,06;2,11;-2,47;4,78;11,40;9,10;9,76;0,80;0,20;0,94;5,57;;6.372.535,00
VVAR3;17,62;;-20,42;43,90;1,18;29,39;-3,69;-5,37;-29,75;;-3,78;5,58;1,10;-8,03;-2,35;0,77;-214,98;-5,76;-24,20;0,03;0,97;1,07;2,50;;1.366.743.089,41
WEGE3;54,70;0,74;64,56;11,62;6,61;29,68;14,15;12,59;57,41;57,20;-0,22;-0,04;8,12;20,32;-16,96;2,14;17,99;10,24;14,47;0,57;0,43;0,81;11,23;11,15;227.784.944,97
WHRL3;6,90;21,60;6,77;3,16;1,33;17,49;7,40;19,10;17,46;15,97;-1,81;-0,33;1,29;5,75;-5,60;1,43;46,68;19,64;9,29;0,42;0,58;1,03;-4,33;20,00;198.102,17
WHRL4;7,30;23,87;7,16;3,34;1,41;17,49;7,40;19,10;18,47;15,97;-1,81;-0,33;1,37;6,08;-5,93;1,43;46,68;19,64;9,29;0,42;0,58;1,03;-4,33;20,00;552.594,59
WIZS3;10,90;6,14;7,99;7,02;2,66;72,14;52,11;31,28;4,80;4,51;-0,29;-0,42;2,50;-20,45;-3,82;0,70;87,80;33,25;92,92;0,38;0,62;1,06;19,97;21,33;11.316.585,00
WLMM3;11,90;2,69;8,23;1,01;0,81;12,74;5,47;4,78;7,19;8,78;-0,37;-0,05;0,39;2,77;-1,34;3,82;12,24;9,84;11,33;0,80;0,20;2,06;4,61;32,46;4.215,93
WLMM4;17,85;1,97;12,35;1,51;1,22;12,74;5,47;4,78;10,78;8,78;-0,37;-0,05;0,59;4,16;-2,01;3,82;12,24;9,84;11,33;0,80;0,20;2,06;4,61;32,46;36.372,96
WSON33;43,88;2,59;50,02;1,37;0,58;44,15;17,95;3,85;10,73;17,55;6,82;0,87;1,93;10,10;-0,70;1,55;2,74;1,17;4,04;0,43;0,57;0,30;1,52;4,05;2.047.131,97
YDUQ3;35,55;1,43;19,17;3,35;1,44;57,55;24,01;16,12;12,87;13,98;1,11;0,29;3,09;4,67;-2,55;3,41;17,50;7,51;12,43;0,43;0,57;0,47;8,38;12,26;139.003.093,45
